doc_id,sentence
[국가기록원]2013년 국가기록물 정리사업,제 안 요 청 서 사 업 명 2013년 국가기록물 정리사업 주관기관 국 가 기 록 원 2013.
[국가기록원]2013년 국가기록물 정리사업,사업 담당 사회기록관리과 과 장 손영재 TEL:031-750-2204 FAX:031-750-2372 사회기록관리과 주무관 한상효 TEL:031-750-2364 - 목 차 1.
[국가기록원]2013년 국가기록물 정리사업,사업 개요 1 가.
[국가기록원]2013년 국가기록물 정리사업,추진배경 및 필요성 1 나.
[국가기록원]2013년 국가기록물 정리사업,그간의 추진경과 2 다.
[국가기록원]2013년 국가기록물 정리사업,현황 및 문제점 4 가.
[국가기록원]2013년 국가기록물 정리사업,업무 현황 4 나.
[국가기록원]2013년 국가기록물 정리사업,문제점 및 개선방향 5 3.
[국가기록원]2013년 국가기록물 정리사업,사업추진 계획 6 가.
[국가기록원]2013년 국가기록물 정리사업,제안요청 내용 10 가.
[국가기록원]2013년 국가기록물 정리사업,사업 개요 10 나.
[국가기록원]2013년 국가기록물 정리사업,사업 공정흐름도 10 다.
[국가기록원]2013년 국가기록물 정리사업,세부 제안내용 11 라.
[국가기록원]2013년 국가기록물 정리사업,작업장 확보 및 작업환경 조성 16 마.
[국가기록원]2013년 국가기록물 정리사업,작업인력 채용 및 관리 16 바.
[국가기록원]2013년 국가기록물 정리사업,보안관리 18 사.
[국가기록원]2013년 국가기록물 정리사업,품질관리 20 아.
[국가기록원]2013년 국가기록물 정리사업,공정관리 22 자.
[국가기록원]2013년 국가기록물 정리사업,사업관리 23 차.
[국가기록원]2013년 국가기록물 정리사업,과업수행 및 표준화 요건 24 카.
[국가기록원]2013년 국가기록물 정리사업,사업보고 및 산출물 25 타.
[국가기록원]2013년 국가기록물 정리사업,기술지원요건 27 파.
[국가기록원]2013년 국가기록물 정리사업,유지보수요건 28 5.
[국가기록원]2013년 국가기록물 정리사업,제안 안내 29 가.
[국가기록원]2013년 국가기록물 정리사업,사업자 선정방식 29 나.
[국가기록원]2013년 국가기록물 정리사업,제안서 기술평가 30 다.
[국가기록원]2013년 국가기록물 정리사업,제안 참여조건 30 라.
[국가기록원]2013년 국가기록물 정리사업,입찰서류 및 제안서 제출안내 32 마.
[국가기록원]2013년 국가기록물 정리사업,제안서의 효력 33 바.
[국가기록원]2013년 국가기록물 정리사업,제안서의 작성안내 34 6.
[국가기록원]2013년 국가기록물 정리사업,붙임자료 37 1.
[국가기록원]2013년 국가기록물 정리사업,추진배경 및 필요성
[국가기록원]2013년 국가기록물 정리사업,"국가 주요기록물의 보존 안정성 확보로 기록유산의 안전한 후대 전승 o 생산이후 20~30년 경과한 기록물의 녹슨 철침제거, 보존용표지 및 보존상자 편성 등 체계적 정리를 통한 국가 주요기록의 보존성 향상 o 정리 완료 기록물의 영구보존서고 배치로 임시서고 가용 공간을 마련하여 ‘13년도 정부조직개편 등 대량 수집물량에 대한 인수 공간 사전 확보"
[국가기록원]2013년 국가기록물 정리사업,목록조차 없는 기록물의 정리․등록을 통한 대국민 서비스 기반 마련 o 중요 색인항목의 중앙영구기록관리시스템(CAMS) 등록 등 전자적 형태로 생산되지 않은 기록물에 대하여 전자적 관리 체계 구축 o 기록물관리업무의 효율성 및 편리성을 향상시켜 궁극적으로 매년 증가추세에 있는 대국민 열람서비스 부응 및 국민의 알권리 증진 기여
[국가기록원]2013년 국가기록물 정리사업,"‘재정지원 일자리사업’을 통한 서민생활 안정화 지원 필요 o 동절기 저소득층의 일자리 공백 최소화를 위하여 ‘직접 일자리’ 사업 조기 시행(‘13년도 재정지원 일자리사업 중앙부처-자치단체 합동지침, ‘12."
[국가기록원]2013년 국가기록물 정리사업,"12) o 모집․공고시 ‘취업취약계층 우선선발’을 명시토록 하고, 선발시 취업취약계층 지원자에게 가점 부여 등을 통해 우선 선발 o 또, 취업취약계층의 선발 규모를 전체 참여인원의 50%확대( ‘12년도 40%)하고, 특히 ’12년도 참여 장애인의 고용 연속성 확보 및 복지 강화 추진 나."
[국가기록원]2013년 국가기록물 정리사업,그간의 추진경과 o ‘98.
[국가기록원]2013년 국가기록물 정리사업,8월 정부시책(실업대책 일환)으로 국가기록물관리 공공근로 사업으로 추진 o ‘03년부터 일반사업으로 전환되어 ‘국가기록물 정리사업’으로 추진 o ‘08.
[국가기록원]2013년 국가기록물 정리사업,10월 국가기록물정리 외주 위탁사업으로 추진 구 분 예 산 정리량 사업기간 일평균 고용 ’08년도 48억 21 만권 ’08.10.13 ~ ’09.
[국가기록원]2013년 국가기록물 정리사업,"국가 주요기록물의 정리 및 중요 색인정보 등록 o ‘기록물관리지침’에 따라 건분류, 색인목록 작성, 재편철, RFID 라벨부착, 보존상자편성 등 미정리기록물 정리작업 추진 o 표준에 따라 발췌한 중요 색인정보의 중앙영구기록관리시스템(CAMS) 등록 o 분류체계(생산기관, 보존기간)에 따른 서고배치 및 위치정보 등록"
[국가기록원]2013년 국가기록물 정리사업,"대상물량 내역 : 총 20만권* o 보유 미정리기록물 53만권 중, 보존가치 및 이용가능성이 높은 기록물 20만권 우선 정리․등록 추진 o 잔여 미정리기록물은 예산확보 및 동종대량기록물의 정리 간소화 방안 등을 적용하여 단계적 정리 추진 * 1권=10건=200매 기준, 기록물별 정리작업 소요공수에 따라 물량 변동 가능 라."
