seg_id,rule_label,llm_label,actor,action,object
S001,0,1,시스템,정렬,검색결과 타이틀
S002,0,0,,,
S003,0,1,시스템,구현되어 있어야 한다,검색결과 타이틀에 소팅기능
S004,0,1,시스템,등록해야 한다,"시행연도, 기관명, 확정여부, 확정자명, 확정일, 회차, 제출기한, 등록자명, 등록일자"
S005,0,0,,,
S006,1,1,사용자,선택할 수 있어야 한다,조회되는 개수
S007,1,1,센터 담당자,확인하다,전산도움말 등록기능
S008,1,1,시스템,제공해야 한다,질의등록 및 답변을 확인할 수 있는 바로가기 기능
S009,0,0,,,
S010,0,1,시스템,제공,"등록, 수정, 삭제, 결재상신, 결재상신취소, 반려, 결재 기능"
S011,1,1,사용자,관리,등록/조회 기능
S012,1,1,사용자,관리,등록/조회 기능
S013,0,0,,,
S014,0,0,,,
S015,1,1,사용자,관리,등록/조회 기능
S016,0,0,,,
S017,0,0,,,
S018,0,1,시스템,제공하다,"검색조건 - 관할기관, 수급만료일"
S019,0,0,,,
S020,0,1,Resource Layer,저장하고 관리하는,Image 정보
S021,0,0,,,
S022,1,1,시스템,제공하다,질의등록 및 답변 확인 바로가기 기능
S023,1,1,사용자,선택할 수 있어야 한다,조회되는 개수
S024,0,1,사용자,추가 등록,부정수급 신고자
S025,1,1,사용자,관리,등록/조회 기능
S026,1,1,센터 담당자,확인하다,전산도움말 등록기능
S027,1,1,사용자,선택할 수 있어야 한다,조회되는 개수
S028,0,1,시스템,입력,"최종 이직 사업장 정보, 자격취득일 및 이직일"
S029,1,0,,,
S030,0,0,,,
S031,1,1,센터 담당자,확인하다,전산도움말 등록기능
S032,1,1,시스템,제공해야 한다,질의등록 및 답변을 확인할 수 있는 바로가기 기능
S033,0,1,시스템,제공해야 한다,"검색결과 항목: 선택, 연번, 대상번호, 대상명, 지원금종류, 기지급결정일, 추가/회수결정액, 추가/회수사유, 은행, 계좌번호, 예금주, 결재구분, 회수여부, 세입처리여부, 기금결재일, 처리구분, 담당자"
S034,0,0,,,
S035,0,0,,,
S036,1,1,사용자,관리 가능해야 한다,등록/조회 기능
S037,1,1,시스템,제공해야 한다,화면 내용 그대로 출력하는 기능
S038,1,1,센터 담당자,확인할 수 있다,전산도움말 등록기능
S039,0,1,시스템,제공해야 한다,"검색결과 항목: 업무구분, 사업장관리번호, 사업장명, 주민등록번호, 성명, 자격일자 등"
S040,1,0,,,
S041,1,1,시스템,제공하며,로그인 방법
S042,0,1,시스템,다운로드 받을 수 있어야 한다,해당 검색조건에 해당하는 내용을 엑셀로
S043,1,1,사용자,관리,등록/조회 기능
S044,1,0,,,
S045,0,1,시스템,제공해야 한다,"검색결과 항목: 선택, 연번, 계좌확인일, 수령인, 공통번호, 은행명, 계좌번호, 예금주, 담당자, 불일치사유"
S046,1,1,센터 담당자,확인하다,전산도움말 등록기능
S047,0,1,시스템,유지운영 실시,진료시스템
S048,0,0,,,
S049,1,1,사용자,관리,등록/조회 기능
S050,1,1,시스템,구현해야 한다,심사위원회 연혁 및 기능에 대한 조회 기능
S051,0,0,,,
S052,1,1,시스템,제공해야 한다,질의등록 및 답변을 확인할 수 있는 바로가기 기능
S053,0,1,시스템,검증 및 생성,호환성 및 템플릿
S054,1,1,시스템,제한하다,ID/PWD로 로그인 사용자의 페이지 사용
