seg_id,rule_label,llm_label,actor,action,object
S001,0,1,시스템,정렬,검색결과
S002,0,1,유지운영체계,안정화하여 서비스 향상,통합의료정보시스템 신뢰도
S003,0,1,시스템,정렬,검색결과
S004,0,1,시스템,등록,"시행연도, 기관명, 확정여부, 확정자명, 확정일, 회차, 제출기한, 등록자명, 등록일자"
S005,0,0,,,
S006,1,1,사용자,선택,조회 개수(10개/20개/50개/100개)
S007,1,1,센터 담당자,확인,전산도움말 등록기능
S008,1,1,시스템,제공,화면 상단 질의등록 및 답변 확인 바로가기 기능
S009,0,1,시스템,단계적 구축,주요 업무
S010,0,1,시스템,제공,"등록, 수정, 삭제, 결재상신, 결재상신취소, 반려, 결재 기능"
S011,1,1,시스템,관리,사용자 권한에 따른 등록/조회 기능
S012,1,1,시스템,관리,사용자 권한에 따른 등록/조회 기능
S013,0,0,,,
S014,0,0,,,
S015,1,1,시스템,관리,사용자 권한에 따른 등록/조회 기능
S016,0,0,,,
S017,0,0,,,
S018,0,1,시스템,제공,"검색조건(관할기관, 수급만료일)"
S019,0,0,,,
S020,0,1,자원관리 시스템,저장하고 관리,Hypervisor의 OS/SW 이미지 정보
S021,0,1,하도급업체,발주처란에 원도급회사 병행 기재,발주처 승인 시
S022,1,1,시스템,제공,화면 상단 질의등록 및 답변 확인 바로가기 기능
S023,1,1,사용자,선택,조회 개수(10개/20개/50개/100개)
S024,0,1,사용자,추가 등록,부정수급 신고자
S025,1,1,시스템,관리,사용자 권한에 따른 등록/조회 기능
S026,1,1,센터 담당자,확인,전산도움말 등록기능
S027,1,1,사용자,선택,조회 개수(10개/20개/50개/100개)
S028,0,1,시스템,입력,"신청 내용(최종 이직 사업장 정보, 자격취득일, 이직일)"
S029,1,1,제안사,제시,기술 이전 계획 및 시스템 인계 계획
S030,0,1,시스템,등록/관리,"이전계획, 신설계획, 지역근로자 고용계획 항목"
S031,1,1,센터 담당자,확인,전산도움말 등록기능
S032,1,1,시스템,제공,화면 상단 질의등록 및 답변 확인 바로가기 기능
S033,0,1,시스템,표시,검색결과 항목
S034,0,1,유지보수 인력,수행,"클라우드 시스템 장비 유지보수/장애조치/SR 처리, 클라우드 전환 서비스 지원, 운영 매뉴얼 작성 및 기술 이전"
S035,0,1,시스템,제공,"포털 Layer(관리자 포털, 사용자 포털, 개발자 포털)"
S036,1,1,시스템,관리,사용자 권한에 따른 등록/조회 기능
S037,1,1,시스템,출력,조회 화면 내용
S038,1,1,센터 담당자,확인,전산도움말 등록기능
S039,0,1,시스템,표시,"검색결과 항목(업무구분, 사업장관리번호, 사업장명, 주민등록번호, 성명, 자격일자 등)"
